Species,D250M1-ex1-rep1,D250M1-ex2-rep1,D250M2-ex1-rep1,D250M2-ex2-rep1,D250M3-ex1-rep1,D250M3-ex2-rep1,D250M4-ex1-rep1,D250M4-ex2-rep1,D250M5,D250M5,D500M1-ex1-rep1,,D500M2-ex1-rep1,D500M2-ex2-rep1,D500M3-ex1-rep1,,D500M4-ex1-rep1,D500M4-ex2-rep1,D500M5-ex1-rep1,D500M5-ex2-rep1,D1000M1-ex1-rep1,D1000M1-ex2-rep1,D1000M2-ex1-rep1,D1000M2-ex2-rep1,D1000M3-ex1-rep1,D1000M3-ex2-rep1,D1000M4-ex1-rep1,D1000M4-ex2-rep1,D1000M5-ex1-rep1,D1000M5-ex2-rep1,DLarv2-ex1-rep1,DLarv2-ex2-rep1,DLarv3-ex1-rep1,DLarv3-ex2-rep1,DLarv4-ex1-rep1,DLarv4-ex2-rep1,DLarv5-ex1-rep1,DLarv5-ex2-rep1,DM1-ex1-rep1,DM2-ex1-rep1,DM3-ex1-rep1,DM4-ex1-rep1,DM5-ex1-rep1,M2ACV-ex1-rep1,M2ACV-ex2-rep1,M2DC-ex1-rep1,M2DC-ex2-rep1,M2FF-ex1-rep1,M4DC-ex1-rep1,M4DC-ex2-rep1,M4FF-ex1-rep1,M4FF-ex2-rep1,M6FF-ex1-rep1,POS1-ex1-rep1,POS1-ex2-rep1,POS2-ex1-rep1,POS2-ex2-rep1,T10DC-ex1-rep1,T10DC-ex2-rep1,T10FF-ex1-rep1,T10FF-ex2-rep1,T10SPD-ex1-rep1,T10SPD-ex2-rep1,T2SPD-ex1-rep1,T2SPD-ex2-rep1,T4DC-ex1-rep1,T4DC-ex2-rep1,T4FF-ex1-rep1,T4FF-ex2-rep1,T4SPD-ex1-rep1,T4SPD-ex2-rep1,T6DC-ex1-rep1,T6DC-ex2-rep1,T6FF-ex1-rep1,T6FF-ex2-rep1,T6SPD-ex1-rep1,T6SPD-ex2-rep1,T8DC-ex1-rep1,T8DC-ex2-rep1,T8FF-ex1-rep1,T8FF-ex2-rep1,T8SPD-ex1-rep1,T8SPD-ex2-rep1
Drosophila_albomicans,9%,9%,26%,25%,0%,0%,22%,21%,,,43%,,39%,38%,0%,,0%,0%,25%,25%,0%,0%,26%,23%,21%,20%,0%,0%,29%,28%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,7%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,36%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Drosophila_biarmipes,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,,0%,0%,0%,,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Drosophila_busckii,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Drosophila_buzzatii/koepferae,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,8%,0%,0%,0%,0%,7%,6%,0%,0%,0%,0%,0%,0%
Drosophila_hydei,0%,0%,3%,3%,16%,17%,7%,7%,,,0%,,3%,3%,34%,,2%,2%,12%,13%,39%,33%,0%,0%,2%,3%,12%,12%,13%,13%,41%,29%,43%,41%,0%,0%,15%,14%,14%,28%,35%,0%,7%,1%,1%,7%,7%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%
Drosophila_immigrans,26%,25%,18%,19%,0%,0%,33%,32%,,,15%,,15%,14%,0%,,0%,0%,22%,21%,0%,0%,12%,12%,28%,30%,0%,0%,15%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,1%,22%,25%,26%,23%,23%,0%,17%,16%,0%,0%,0%,0%,80%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%
Drosophila_mauritia0/simulans,5%,5%,20%,20%,44%,44%,2%,2%,,,4%,,15%,16%,14%,,67%,61%,10%,10%,15%,13%,10%,9%,20%,22%,39%,39%,8%,8%,5%,4%,3%,3%,15%,13%,51%,47%,34%,8%,10%,5%,32%,5%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,64%,20%,51%,50%,21%,17%,78%,72%,80%,76%,13%,14%,69%,72%,68%,68%,75%,68%,40%,42%,77%,77%,57%,53%,24%,21%,60%,60%
Drosophila_melanogaster,27%,29%,2%,3%,24%,25%,24%,27%,,,18%,,6%,7%,2%,,19%,22%,20%,21%,10%,12%,12%,14%,4%,5%,23%,25%,14%,16%,28%,32%,13%,15%,48%,48%,0%,0%,25%,30%,6%,19%,4%,4%,5%,0%,0%,29%,0%,0%,0%,0%,0%,0%,0%,0%,20%,1%,1%,56%,58%,8%,12%,3%,5%,1%,1%,17%,16%,2%,3%,0%,0%,52%,49%,4%,5%,2%,3%,65%,68%,21%,22%
Drosophila_0suta,0%,0%,1%,1%,0%,0%,2%,1%,,,0%,,2%,2%,0%,,0%,0%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Drosophila_repleta,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Drosophila_simulans,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%
Drosophila_subpulchrella,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,,0%,0%,0%,,0%,0%,3%,4%,5%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,3%,3%,0%,0%,0%,13%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Drosophila_sulfurigaster,3%,2%,9%,7%,0%,0%,1%,0%,,,10%,,6%,4%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,6%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,3%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Drosophila_suzukii,2%,3%,1%,2%,0%,0%,0%,0%,,,0%,,5%,6%,0%,,1%,2%,0%,0%,13%,14%,15%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,8%,7%,6%,0%,0%,0%,0%,0%,35%,31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F__Drosophilidae,4%,4%,9%,10%,1%,1%,2%,2%,,,1%,,2%,2%,4%,,0%,0%,0%,0%,1%,2%,7%,7%,10%,9%,2%,1%,1%,1%,2%,3%,4%,4%,3%,3%,2%,3%,2%,1%,3%,4%,2%,2%,4%,7%,6%,7%,14%,9%,5%,6%,10%,0%,0%,0%,0%,4%,5%,1%,1%,0%,1%,1%,1%,10%,10%,0%,0%,1%,1%,1%,2%,0%,0%,0%,0%,4%,4%,0%,0%,1%,1%
G__Drosophila,6%,6%,10%,9%,7%,7%,5%,5%,,,4%,,7%,6%,1%,,7%,9%,4%,4%,3%,3%,3%,2%,8%,7%,6%,6%,4%,4%,3%,4%,2%,2%,6%,6%,5%,5%,5%,4%,2%,3%,7%,0%,1%,1%,1%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,5%,10%,10%,9%,8%,11%,9%,1%,1%,9%,9%,8%,7%,8%,6%,8%,9%,9%,9%,6%,6%,10%,9%,8%,8%
Scaptodrosophila_lattivitata,16%,15%,0%,0%,7%,7%,2%,1%,,,6%,,0%,0%,44%,,4%,4%,2%,2%,13%,17%,16%,17%,0%,0%,18%,17%,13%,14%,21%,28%,35%,36%,27%,29%,26%,31%,20%,15%,40%,47%,0%,53%,52%,49%,50%,60%,69%,75%,60%,63%,90%,100%,0%,0%,0%,39%,40%,9%,11%,4%,7%,6%,9%,76%,73%,0%,0%,10%,13%,15%,23%,0%,0%,2%,2%,30%,34%,0%,0%,8%,7%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pool 4?,,Pool 5?,,Pool 1?,,Pool 2?,,,,Pool 4?,,Pool 5?,,Pool 1?,,Pool 2?,,Pool 2?,,Pool 3?,,Pool 4?,,Pool 5?,,Pool 1?,,Pool 2?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,NTC??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Pool 1,,Pool 2,,Pool 3,,Pool 4,,Pool 5,,Pool 1,,Pool 2,,Pool 3,,Pool 4,,Pool 5,,1000 Pool 1,,1000 Pool 2,,1000 Pool 3,,1000 Pool 4,,1000 Pool 5,,Larval 2,,Larval 3,,Larval 4,,Larval 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. melanogaster,75,,100,,37,,100,,25,,150,,200,,70,,210,,54,,300,,400,,194,,444,,100,,100,,40,,100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. simulans,125,,25,,25,,25,,145,,250,,50,,50,,50,,275,,500,,100,,100,,100,,550,,25,,29,,50,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. hydei,25,,75,,100,,0,,29,,50,,150,,220,,0,,70,,100,,300,,400,,0,,149,,100,,100,,0,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sca. Latti,25,,25,,82,,104,,0,,50,,50,,154,,210,,0,,100,,100,,300,,400,,0,,25,,80,,100,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. immigrans,0,,24,,0,,15,,50,,0,,49,,0,,24,,100,,0,,99,,0,,50,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. subpulchrella,0,,1,,1,,1,,0,,0,,1,,1,,1,,0,,0,,1,,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. suzukii,0,,0,,5,,5,,1,,0,,0,,5,,5,,1,,0,,0,,5,,5,,1,,0,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. biarmipes,,,,,1,,,,1,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,,250,,251,,250,,251,,500,,500,,501,,500,,501,,Could everything have been moved down 3? See if pattern holds ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
